City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
265,emerald,-23.5333,148.1667,302.09,38,0,6.61,AU,1670423185
266,dong hoi,17.4833,106.6,293.35,92,99,4.45,VN,1670423249
267,bure,10.7,37.0667,295.36,39,52,2.57,ET,1670423250
268,araguacu,-12.9306,-49.8264,303.85,53,96,2.64,BR,1670423025
269,santiago del estero,-27.7951,-64.2615,311.88,16,94,6.2,AR,1670423228
270,latung,5.5,120.8833,300.83,76,35,2.12,PH,1670423250
271,monywa,22.1167,95.1333,296.54,57,1,1.11,MM,1670423251
272,zhigansk,66.7697,123.3711,246.17,98,100,1.84,RU,1670423251
273,takhli,15.2634,100.3438,297.5,76,11,2.53,TH,1670423251
274,quba,41.3626,48.5152,272.74,97,85,0.69,AZ,1670423251
275,jeremoabo,-10.075,-38.4808,303.09,47,26,4.07,BR,1670423252
276,tilichiki,60.4667,166.1,257.12,97,65,2.36,RU,1670423252
277,trairi,-3.2778,-39.2689,305.09,50,92,7.21,BR,1670423033
278,yeppoon,-23.1333,150.7333,297.03,75,0,3.22,AU,1670423252
279,iglesias,39.3114,8.535,290.83,69,6,2.76,IT,1670423253
280,marsaxlokk,35.8419,14.5431,292.49,82,20,2.57,MT,1670423106
281,mixquiahuala,20.2333,-99.2167,286.03,80,0,0.45,MX,1670423253
282,skibbereen,51.55,-9.2667,279.88,63,13,4.7,IE,1670423253
283,pundaguitan,6.3711,126.1689,300.95,76,41,3.35,PH,1670423254
284,fuxin,42.0156,121.6589,269.77,39,0,1.98,CN,1670423254
285,luwingu,-10.2621,29.9271,298.43,51,99,0.97,ZM,1670423254
286,touros,-5.1989,-35.4608,303.36,59,52,7.51,BR,1670423255
287,riviere-au-renard,48.9957,-64.3971,275.31,98,100,5.27,CA,1670423255
288,san cristobal,7.7669,-72.225,294.25,63,20,1.5,VE,1670423246
289,chimbote,-9.0853,-78.5783,292.64,79,50,2.44,PE,1670423072
290,anshun,26.25,105.9333,278.82,82,100,1.52,CN,1670423255
291,crotone,39.0851,17.1178,291.12,82,40,2.57,IT,1670423256
292,wuwei,37.9281,102.6414,269.17,59,91,0.63,CN,1670423256
293,bantou,26.2151,117.4893,285.53,92,93,1.11,CN,1670423256
294,sarkikaraagac,38.0794,31.3664,282.33,61,100,1.99,TR,1670423257
295,khuzdar,27.7384,66.6434,291.05,31,0,2.7,PK,1670423257
296,iquique,-20.2208,-70.1431,293.17,65,94,3.1,CL,1670423257
297,leczna,51.3012,22.8814,274.88,100,100,4.12,PL,1670423257
298,marystown,47.1666,-55.1483,278.18,84,4,5.36,CA,1670423258
299,carutapera,-1.195,-46.02,304.68,53,10,4.96,BR,1670423258
300,dalbandin,28.8947,64.4101,290.08,32,0,0.36,PK,1670423258
301,iqaluit,63.7506,-68.5145,260.0,66,40,1.03,CA,1670423259
302,aswan,24.0934,32.907,299.76,22,0,3.09,EG,1670423259
303,ambilobe,-13.2,49.05,301.02,69,56,2.11,MG,1670423259
